epoch , batch_size, learning_rate, accuracy, loss
1 , 100 , 0.0005 , 0.2503126859664917 , 1.9087718725204468
2 , 100 , 0.0005 , 0.2900250256061554 , 1.843576192855835
3 , 100 , 0.0005 , 0.2920575439929962 , 1.8397750854492188
4 , 100 , 0.0005 , 0.3126954436302185 , 1.818282127380371
5 , 100 , 0.0005 , 0.3217636048793793 , 1.8024588823318481
6 , 100 , 0.0005 , 0.3219199478626251 , 1.8052144050598145
7 , 100 , 0.0005 , 0.32567229866981506 , 1.7941575050354004
8 , 100 , 0.0005 , 0.3277048170566559 , 1.7955424785614014
9 , 100 , 0.0005 , 0.3273921310901642 , 1.7924295663833618
10 , 100 , 0.0005 , 0.33442777395248413 , 1.7818607091903687
11 , 100 , 0.0005 , 0.33458411693573 , 1.7789708375930786
12 , 100 , 0.0005 , 0.3461538553237915 , 1.7627332210540771
13 , 100 , 0.0005 , 0.3417761027812958 , 1.768075704574585
14 , 100 , 0.0005 , 0.34099435806274414 , 1.7612336874008179
15 , 100 , 0.0005 , 0.3520950675010681 , 1.7544000148773193
16 , 100 , 0.0005 , 0.34896811842918396 , 1.7509959936141968
17 , 100 , 0.0005 , 0.35287681221961975 , 1.7400387525558472
18 , 100 , 0.0005 , 0.35944339632987976 , 1.7260290384292603
19 , 100 , 0.0005 , 0.3585053086280823 , 1.7313789129257202
20 , 100 , 0.0005 , 0.36929330229759216 , 1.7152780294418335
21 , 100 , 0.0005 , 0.36632269620895386 , 1.7127584218978882
22 , 100 , 0.0005 , 0.371325820684433 , 1.7088462114334106
23 , 100 , 0.0005 , 0.3688242733478546 , 1.701768398284912
24 , 100 , 0.0005 , 0.3802376389503479 , 1.7048883438110352
25 , 100 , 0.0005 , 0.3750781714916229 , 1.6820695400238037
26 , 100 , 0.0005 , 0.37914320826530457 , 1.6976027488708496
27 , 100 , 0.0005 , 0.38101938366889954 , 1.6838945150375366
28 , 100 , 0.0005 , 0.3844590485095978 , 1.6861772537231445
29 , 100 , 0.0005 , 0.3894621729850769 , 1.691001534461975
30 , 100 , 0.0005 , 0.39321452379226685 , 1.6786032915115356
31 , 100 , 0.0005 , 0.3844590485095978 , 1.6738232374191284
32 , 100 , 0.0005 , 0.39446529746055603 , 1.6657490730285645
33 , 100 , 0.0005 , 0.39853033423423767 , 1.6488860845565796
34 , 100 , 0.0005 , 0.39415258169174194 , 1.6631267070770264
35 , 100 , 0.0005 , 0.40540963411331177 , 1.640798807144165
36 , 100 , 0.0005 , 0.4032207727432251 , 1.6505922079086304
37 , 100 , 0.0005 , 0.40931832790374756 , 1.6387126445770264
38 , 100 , 0.0005 , 0.4104127585887909 , 1.6324151754379272
39 , 100 , 0.0005 , 0.4052532911300659 , 1.6422932147979736
40 , 100 , 0.0005 , 0.4065040647983551 , 1.63576340675354
41 , 100 , 0.0005 , 0.41619762778282166 , 1.6358834505081177
42 , 100 , 0.0005 , 0.4110381603240967 , 1.6271679401397705
43 , 100 , 0.0005 , 0.4127579629421234 , 1.6268723011016846
44 , 100 , 0.0005 , 0.4369918704032898 , 1.583624243736267
45 , 100 , 0.0005 , 0.18386492133140564 , 38033727488.0
46 , 100 , 0.0005 , 0.1863664835691452 , 2.0312318801879883
47 , 100 , 0.0005 , 0.2004377692937851 , 2.024669647216797
48 , 100 , 0.0005 , 0.1876172572374344 , 2.017972469329834
49 , 100 , 0.0005 , 0.19246403872966766 , 2.0087568759918213
50 , 100 , 0.0005 , 0.19465291500091553 , 2.0175631046295166
51 , 100 , 0.0005 , 0.19465291500091553 , 2.0101914405822754
52 , 100 , 0.0005 , 0.19480925798416138 , 2.010970115661621
53 , 100 , 0.0005 , 0.1938711702823639 , 2.0054328441619873
54 , 100 , 0.0005 , 0.19871795177459717 , 2.005821943283081
55 , 100 , 0.0005 , 0.19887429475784302 , 2.0115244388580322
56 , 100 , 0.0005 , 0.20606629550457 , 2.0032894611358643
57 , 100 , 0.0005 , 0.20215760171413422 , 2.0095021724700928
58 , 100 , 0.0005 , 0.20544089376926422 , 2.0006582736968994
59 , 100 , 0.0005 , 0.2027829885482788 , 2.0025906562805176
60 , 100 , 0.0005 , 0.20559725165367126 , 2.0048673152923584
61 , 100 , 0.0005 , 0.1994996815919876 , 2.0071330070495605
62 , 100 , 0.0005 , 0.20794247090816498 , 2.003934144973755
63 , 100 , 0.0005 , 0.19402751326560974 , 2.0024054050445557
64 , 100 , 0.0005 , 0.20153221487998962 , 2.0014760494232178
65 , 100 , 0.0005 , 0.20356473326683044 , 1.9994579553604126
66 , 100 , 0.0005 , 0.20465916395187378 , 2.003678798675537
67 , 100 , 0.0005 , 0.20497186481952667 , 1.9959808588027954
68 , 100 , 0.0005 , 0.20215760171413422 , 2.0017058849334717
69 , 100 , 0.0005 , 0.20481550693511963 , 1.9953947067260742
70 , 100 , 0.0005 , 0.2159162014722824 , 1.9954849481582642
71 , 100 , 0.0005 , 0.20293933153152466 , 2.002230644226074
72 , 100 , 0.0005 , 0.20028142631053925 , 1.9990594387054443
73 , 100 , 0.0005 , 0.2063789814710617 , 1.98952317237854
74 , 100 , 0.0005 , 0.20528455078601837 , 1.9952361583709717
75 , 100 , 0.0005 , 0.21091307699680328 , 1.9995306730270386
76 , 100 , 0.0005 , 0.20184490084648132 , 1.9972072839736938
77 , 100 , 0.0005 , 0.20450282096862793 , 2.00205659866333
78 , 100 , 0.0005 , 0.21466541290283203 , 1.9923969507217407
79 , 100 , 0.0005 , 0.20684802532196045 , 1.9940896034240723
80 , 100 , 0.0005 , 0.21435272693634033 , 1.9914923906326294
81 , 100 , 0.0005 , 0.21075671911239624 , 1.9983623027801514
82 , 100 , 0.0005 , 0.21138212084770203 , 1.9946500062942505
83 , 100 , 0.0005 , 0.20559725165367126 , 1.9970948696136475
84 , 100 , 0.0005 , 0.21607254445552826 , 1.9858061075210571
85 , 100 , 0.0005 , 0.19699811935424805 , 2.0057334899902344
86 , 100 , 0.0005 , 0.20325203239917755 , 1.9929701089859009
87 , 100 , 0.0005 , 0.21278923749923706 , 1.988919973373413
88 , 100 , 0.0005 , 0.2138836830854416 , 1.996984601020813
89 , 100 , 0.0005 , 0.2141963690519333 , 1.985205888748169
90 , 100 , 0.0005 , 0.20950594544410706 , 1.9967210292816162
91 , 100 , 0.0005 , 0.21529079973697662 , 1.9858397245407104
92 , 100 , 0.0005 , 0.21153846383094788 , 1.9895330667495728
93 , 100 , 0.0005 , 0.2106003761291504 , 1.9918557405471802
94 , 100 , 0.0005 , 0.2040337771177292 , 1.9987167119979858
95 , 100 , 0.0005 , 0.20653533935546875 , 1.9925665855407715
96 , 100 , 0.0005 , 0.20356473326683044 , 1.9949078559875488
